renabap_id|nombre|provincia|departamento|localidad|cantidad_familias_aproximada|decada_de_creacion|anio_de_creacion|energia_electrica|efluentes_cloacales|agua_corriente|cocina|calefaccion|situacion_dominial|clasificacion_barrio|superficie_m2
3679|NM2612|PR18|DP187|LC486|CN398|DC1|ND1|NR2|FL2|GC5|CC3|CL2|ST2|CL1|SP3328
3680|NM613|PR18|DP187|LC486|CN83|DC7|ND2|NR2|FL5|GC2|CC1|CL2|ST2|CL1|SP3329
3681|NM2613|PR18|DP187|LC486|CN152|DC3|ND1|NR3|FL6|GC2|CC1|CL2|ST2|CL1|SP3330
3682|NM2614|PR18|DP187|LC486|CN27|DC4|ND1|NR3|FL5|GC2|CC1|CL2|ST2|CL1|SP3331
3683|NM2615|PR18|DP187|LC486|CN54|DC3|ND1|NR3|FL2|GC2|CC1|CL2|ST2|CL1|SP3332
3684|NM2616|PR18|DP187|LC486|CN171|DC5|ND1|NR3|FL2|GC5|CC1|CL2|ST3|CL1|SP3333
3685|NM2617|PR18|DP187|LC486|CN23|DC1|ND1|NR3|FL2|GC2|CC1|CL2|ST2|CL1|SP3334
3686|NM262|PR18|DP187|LC486|CN399|DC1|ND1|NR3|FL2|GC2|CC1|CL5|ST2|CL1|SP3335
3687|NM212|PR18|DP187|LC486|CN80|DC4|ND1|NR2|FL5|GC7|CC1|CL2|ST2|CL1|SP3336
3688|NM951|PR18|DP188|LC487|CN142|DC5|ND1|NR2|FL2|GC2|CC1|CL3|ST2|CL1|SP3337
3689|NM2618|PR18|DP188|LC487|CN80|DC3|ND1|NR3|FL2|GC2|CC3|CL2|ST2|CL1|SP3338
3690|NM230|PR18|DP188|LC487|CN17|DC1|ND1|NR3|FL2|GC2|CC1|CL2|ST2|CL1|SP3339
3691|NM699|PR18|DP188|LC487|CN34|DC3|ND1|NR3|FL2|GC2|CC1|CL2|ST2|CL2|SP3340
3692|NM130|PR18|DP188|LC487|CN104|DC1|ND1|NR3|FL1|GC2|CC1|CL2|ST2|CL1|SP3341
3693|NM1509|PR18|DP188|LC487|CN27|DC1|ND1|NR3|FL2|GC2|CC1|CL2|ST2|CL1|SP3342
3694|NM380|PR18|DP188|LC487|CN27|DC1|ND1|NR3|FL1|GC2|CC3|CL2|ST2|CL1|SP3343
3695|NM2619|PR18|DP188|LC487|CN80|DC1|ND1|NR3|FL2|GC2|CC3|CL2|ST2|CL1|SP3344
3696|NM404|PR18|DP188|LC487|CN16|DC7|ND3|NR2|FL2|GC2|CC3|CL2|ST2|CL1|SP3345
3697|NM968|PR18|DP188|LC487|CN400|DC4|ND1|NR3|FL1|GC2|CC1|CL2|ST2|CL1|SP3346
3698|NM34|PR18|DP188|LC487|CN281|DC1|ND1|NR3|FL1|GC2|CC1|CL3|ST2|CL1|SP3347
3699|NM2620|PR18|DP188|LC487|CN80|DC1|ND1|NR3|FL1|GC2|CC1|CL2|ST2|CL1|SP3348
3700|NM968|PR18|DP188|LC488|CN8|DC1|ND1|NR2|FL2|GC2|CC1|CL2|ST2|CL1|SP3349
3702|NM49|PR18|DP188|LC488|CN60|DC3|ND1|NR3|FL2|GC2|CC1|CL3|ST3|CL1|SP3350
3703|NM2621|PR18|DP189|LC489|CN80|DC4|ND1|NR3|FL1|GC2|CC1|CL2|ST2|CL1|SP3351
3704|NM1345|PR18|DP189|LC489|CN401|DC2|ND1|NR3|FL1|GC2|CC1|CL2|ST3|CL1|SP3352
3705|NM730|PR18|DP189|LC489|CN34|DC1|ND1|NR3|FL1|GC1|CC1|CL4|ST2|CL1|SP3353
3706|NM2622|PR18|DP189|LC489|CN31|DC2|ND1|NR3|FL1|GC1|CC1|CL2|ST2|CL1|SP3354
3707|NM31|PR18|DP189|LC489|CN172|DC2|ND1|NR3|FL2|GC3|CC1|CL2|ST2|CL1|SP3355
3708|NM2623|PR18|DP189|LC489|CN17|DC4|ND1|NR3|FL1|GC5|CC1|CL2|ST3|CL1|SP3356
3709|NM2624|PR18|DP189|LC489|CN17|DC2|ND1|NR3|FL1|GC2|CC1|CL2|ST2|CL1|SP3357
3710|NM182|PR18|DP190|LC490|CN22|DC2|ND1|NR2|FL1|GC5|CC1|CL2|ST3|CL1|SP3358
3711|NM2625|PR18|DP190|LC490|CN22|DC2|ND1|NR3|FL1|GC2|CC1|CL2|ST2|CL1|SP3359
3712|NM2626|PR18|DP190|LC490|CN144|DC1|ND1|NR10|FL2|GC2|CC1|CL2|ST3|CL1|SP3360
3713|NM2627|PR18|DP190|LC490|CN164|DC7|ND5|NR2|FL2|GC1|CC3|CL2|ST2|CL1|SP3361
3714|NM2628|PR18|DP190|LC490|CN240|DC7|ND2|NR3|FL1|GC2|CC1|CL4|ST2|CL1|SP3362
3715|NM2629|PR18|DP190|LC490|CN254|DC3|ND1|NR3|FL1|GC1|CC1|CL2|ST3|CL1|SP3363
3716|NM17|PR18|DP190|LC490|CN16|DC4|ND1|NR3|FL2|GC2|CC1|CL2|ST3|CL1|SP3364
3717|NM675|PR18|DP190|LC490|CN45|DC7|ND5|NR3|FL1|GC2|CC1|CL2|ST3|CL1|SP3365
3718|NM2630|PR18|DP190|LC490|CN61|DC3|ND1|NR3|FL1|GC3|CC1|CL2|ST2|CL1|SP3366
3719|NM951|PR18|DP190|LC490|CN164|DC1|ND1|NR2|FL2|GC2|CC3|CL2|ST2|CL1|SP3367
3720|NM2631|PR9|DP117|LC491|CN243|DC7|ND2|NR2|FL2|GC2|CC1|CL2|ST2|CL1|SP3368
3721|NM2632|PR9|DP191|LC492|CN88|DC2|ND1|NR2|FL2|GC7|CC1|CL2|ST2|CL1|SP3369
3723|NM2633|PR9|DP191|LC492|CN5|DC7|ND4|NR2|FL2|GC2|CC1|CL2|ST2|CL1|SP3370
3724|NM1930|PR9|DP191|LC492|CN80|DC7|ND4|NR2|FL2|GC2|CC1|CL2|ST2|CL1|SP3371
3726|NM1001|PR9|DP191|LC492|CN17|DC2|ND1|NR3|FL1|GC2|CC1|CL4|ST3|CL1|SP3372
3727|NM135|PR9|DP191|LC492|CN402|DC7|ND4|NR2|FL2|GC2|CC3|CL4|ST2|CL1|SP3373
3728|NM2634|PR9|DP117|LC491|CN17|DC7|ND3|NR1|FL2|GC7|CC1|CL2|ST2|CL1|SP3374
3729|NM2635|PR9|DP117|LC491|CN80|DC7|ND5|NR2|FL7|GC7|CC1|CL2|ST2|CL1|SP3375
3730|NM904|PR9|DP117|LC491|CN251|DC7|ND5|NR1|FL2|GC7|CC1|CL2|ST2|CL1|SP3376
3731|NM2636|PR9|DP108|LC493|CN75|DC7|ND2|NR10|FL2|GC2|CC1|CL2|ST2|CL1|SP3377
3732|NM2637|PR9|DP108|LC494|CN1|DC2|ND1|NR3|FL1|GC2|CC1|CL2|ST2|CL1|SP3378
3733|NM2638|PR9|DP108|LC494|CN172|DC5|ND1|NR1|FL2|GC2|CC1|CL2|ST2|CL2|SP3379
3734|NM467|PR9|DP108|LC494|CN62|DC4|ND1|NR3|FL1|GC6|CC1|CL2|ST3|CL1|SP3380
3735|NM2639|PR9|DP108|LC494|CN6|DC1|ND1|NR1|FL2|GC2|CC1|CL2|ST2|CL1|SP3381
3736|NM37|PR9|DP145|LC495|CN1|DC2|ND1|NR2|FL2|GC2|CC1|CL2|ST2|CL1|SP3382
3737|NM2640|PR9|DP108|LC493|CN21|DC4|ND1|NR4|FL2|GC5|CC1|CL2|ST3|CL1|SP3383
3738|NM2641|PR9|DP117|LC491|CN21|DC7|ND5|NR2|FL2|GC2|CC1|CL4|ST2|CL1|SP3384
3741|NM41|PR9|DP117|LC491|CN1|DC7|ND2|NR2|FL1|GC2|CC1|CL2|ST2|CL1|SP3385
3742|NM2642|PR9|DP117|LC491|CN144|DC7|ND3|NR2|FL1|GC2|CC3|CL4|ST2|CL1|SP3386
3743|NM613|PR9|DP117|LC491|CN54|DC2|ND1|NR3|FL1|GC2|CC1|CL2|ST2|CL1|SP3387
3745|NM1302|PR9|DP117|LC491|CN45|DC7|ND3|NR2|FL1|GC2|CC1|CL4|ST2|CL1|SP3388
3747|NM2643|PR9|DP117|LC491|CN175|DC2|ND1|NR9|FL2|GC2|CC1|CL2|ST2|CL1|SP3389
3748|NM2573|PR9|DP117|LC491|CN144|DC2|ND1|NR3|FL2|GC9|CC1|CL2|ST2|CL1|SP3390
3749|NM2644|PR9|DP117|LC491|CN125|DC7|ND6|NR9|FL2|GC9|CC1|CL4|ST3|CL1|SP3391
3750|NM2645|PR9|DP117|LC491|CN16|DC2|ND1|NR2|FL1|GC2|CC1|CL2|ST3|CL1|SP3392
3752|NM166|PR9|DP117|LC491|CN227|DC1|ND1|NR2|FL2|GC7|CC3|CL2|ST3|CL1|SP3393
3753|NM2646|PR9|DP117|LC491|CN1|DC7|ND5|NR2|FL2|GC5|CC1|CL2|ST2|CL1|SP3394
3755|NM1252|PR9|DP108|LC494|CN80|DC1|ND1|NR3|FL2|GC3|CC2|CL2|ST2|CL1|SP3395
3756|NM1121|PR9|DP117|LC491|CN224|DC2|ND1|NR1|FL1|GC2|CC1|CL2|ST2|CL1|SP3396
3757|NM12|PR9|DP191|LC492|CN16|DC7|ND5|NR2|FL2|GC2|CC1|CL2|ST2|CL1|SP3397
3758|NM2647|PR23|DP192|LC496|CN16|DC2|ND1|NR2|FL4|GC2|CC1|CL3|ST2|CL2|SP3398
3759|NM2648|PR23|DP192|LC496|CN142|DC2|ND1|NR2|FL2|GC2|CC1|CL4|ST2|CL2|SP3399
3760|NM2649|PR23|DP192|LC496|CN105|DC7|ND4|NR2|FL1|GC2|CC1|CL3|ST2|CL1|SP3400
3761|NM2650|PR23|DP192|LC496|CN61|DC7|ND2|NR2|FL1|GC2|CC1|CL2|ST2|CL1|SP3401
3762|NM2651|PR23|DP192|LC496|CN56|DC7|ND5|NR2|FL1|GC2|CC1|CL4|ST2|CL1|SP3402
3764|NM135|PR6|DP193|LC497|CN41|DC4|ND1|NR3|FL2|GC4|CC1|CL2|ST3|CL1|SP3403
3766|NM730|PR6|DP194|LC498|CN1|DC7|ND2|NR2|FL2|GC2|CC3|CL2|ST2|CL1|SP3404
3767|NM2652|PR6|DP194|LC498|CN112|DC7|ND7|NR2|FL2|GC2|CC3|CL2|ST2|CL1|SP3405
3768|NM679|PR6|DP194|LC498|CN1|DC2|ND1|NR2|FL2|GC7|CC3|CL2|ST3|CL1|SP3406
3769|NM675|PR6|DP194|LC498|CN251|DC7|ND5|NR3|FL2|GC4|CC3|CL2|ST3|CL1|SP3407
